Outcome,Metformin rate,Insulin rate,OtherDM rate,DietControlled rate,aOR Insulin,aOR OtherDM,aOR DietControlled
Composite 90D,23/121 (19%),64/184 (35%),21/46 (46%),177/607 (29%),2.16 [1.30–4.12] p=0.002,3.72 [1.74–9.11] p=0.002,1.54 [0.96–2.77] p=0.076
Postop Opioid,91/121 (75%),151/184 (82%),42/46 (91%),361/607 (59%),1.49 [0.80–2.74] p=0.244,3.35 [1.37–11.12] p=0.004,0.31 [0.17–0.51] p=0.002
